unique_id,ds,y
STORE_01_BEVERAGES,2025-01-01,142.5
STORE_01_BEVERAGES,2025-01-02,138.2
STORE_01_BEVERAGES,2025-01-03,165.0
STORE_01_BEVERAGES,2025-01-04,198.4
STORE_01_BEVERAGES,2025-01-05,210.1
STORE_01_BEVERAGES,2025-01-06,125.6
STORE_01_BEVERAGES,2025-01-07,130.4
STORE_01_BEVERAGES,2025-01-08,144.0
STORE_01_BEVERAGES,2025-01-09,141.8
STORE_01_BEVERAGES,2025-01-10,172.3
STORE_01_BEVERAGES,2025-01-11,205.9
STORE_01_BEVERAGES,2025-01-12,218.0
STORE_01_BEVERAGES,2025-01-13,129.5
STORE_01_BEVERAGES,2025-01-14,134.1
STORE_01_BEVERAGES,2025-01-15,148.7
STORE_01_BEVERAGES,2025-01-16,145.2
STORE_01_BEVERAGES,2025-01-17,178.6
STORE_01_BEVERAGES,2025-01-18,212.4
STORE_01_BEVERAGES,2025-01-19,224.8
STORE_01_BEVERAGES,2025-01-20,133.0
STORE_01_BEVERAGES,2025-01-21,139.6
STORE_01_BEVERAGES,2025-01-22,152.4
STORE_01_BEVERAGES,2025-01-23,150.1
STORE_01_BEVERAGES,2025-01-24,183.9
STORE_01_BEVERAGES,2025-01-25,220.5
STORE_01_BEVERAGES,2025-01-26,231.2
STORE_01_BEVERAGES,2025-01-27,138.4
STORE_01_BEVERAGES,2025-01-28,143.0
STORE_01_BEVERAGES,2025-01-29,158.3
STORE_01_BEVERAGES,2025-01-30,154.9
STORE_01_BEVERAGES,2025-01-31,189.2
STORE_01_BEVERAGES,2025-02-01,228.0
STORE_01_BEVERAGES,2025-02-02,239.5
STORE_01_BEVERAGES,2025-02-03,142.1
STORE_01_BEVERAGES,2025-02-04,147.8
STORE_01_BEVERAGES,2025-02-05,163.5
STORE_01_BEVERAGES,2025-02-06,160.0
STORE_01_BEVERAGES,2025-02-07,196.4
STORE_01_BEVERAGES,2025-02-08,235.1
STORE_01_BEVERAGES,2025-02-09,247.3
STORE_01_BEVERAGES,2025-02-10,146.9
STORE_01_BEVERAGES,2025-02-11,152.0
STORE_01_BEVERAGES,2025-02-12,168.2
STORE_01_BEVERAGES,2025-02-13,165.7
STORE_01_BEVERAGES,2025-02-14,204.1
STORE_01_BEVERAGES,2025-02-15,243.8
STORE_01_BEVERAGES,2025-02-16,256.0
STORE_01_BEVERAGES,2025-02-17,151.3
STORE_01_BEVERAGES,2025-02-18,157.6
STORE_01_BEVERAGES,2025-02-19,173.9
STORE_01_BEVERAGES,2025-02-20,170.4
STORE_01_BEVERAGES,2025-02-21,210.5
STORE_01_BEVERAGES,2025-02-22,251.0
STORE_01_BEVERAGES,2025-02-23,264.7
STORE_01_BEVERAGES,2025-02-24,156.2
STORE_01_BEVERAGES,2025-02-25,162.8
STORE_01_BEVERAGES,2025-02-26,179.1
STORE_01_BEVERAGES,2025-02-27,176.3
STORE_01_BEVERAGES,2025-02-28,217.9
STORE_01_BEVERAGES,2025-03-01,259.4
STORE_01_BEVERAGES,2025-03-02,272.1
STORE_01_BEVERAGES,2025-03-03,161.5
STORE_01_BEVERAGES,2025-03-04,167.9
STORE_01_BEVERAGES,2025-03-05,185.0
STORE_01_BEVERAGES,2025-03-06,182.3
STORE_01_BEVERAGES,2025-03-07,224.6
STORE_01_BEVERAGES,2025-03-08,267.8
STORE_01_BEVERAGES,2025-03-09,281.3
STORE_01_BEVERAGES,2025-03-10,166.4
STORE_01_BEVERAGES,2025-03-11,173.2
STORE_01_BEVERAGES,2025-03-12,190.8
STORE_01_BEVERAGES,2025-03-13,187.5
STORE_01_BEVERAGES,2025-03-14,232.0
STORE_01_BEVERAGES,2025-03-15,275.4
STORE_01_BEVERAGES,2025-03-16,289.6
STORE_01_BEVERAGES,2025-03-17,171.8
STORE_01_BEVERAGES,2025-03-18,178.5
STORE_01_BEVERAGES,2025-03-19,196.2
STORE_01_BEVERAGES,2025-03-20,193.0
STORE_01_BEVERAGES,2025-03-21,239.1
STORE_01_BEVERAGES,2025-03-22,283.7
STORE_01_BEVERAGES,2025-03-23,297.5
STORE_01_BEVERAGES,2025-03-24,177.0
STORE_01_BEVERAGES,2025-03-25,184.2
STORE_01_BEVERAGES,2025-03-26,202.4
STORE_01_BEVERAGES,2025-03-27,199.8
STORE_01_BEVERAGES,2025-03-28,246.7
STORE_01_BEVERAGES,2025-03-29,292.0
STORE_01_BEVERAGES,2025-03-30,305.8
STORE_01_BEVERAGES,2025-03-31,182.4
STORE_01_BAKERY,2025-01-01,310.0
STORE_01_BAKERY,2025-01-02,295.0
STORE_01_BAKERY,2025-01-03,340.0
STORE_01_BAKERY,2025-01-04,420.0
STORE_01_BAKERY,2025-01-05,450.0
STORE_01_BAKERY,2025-01-06,280.0
STORE_01_BAKERY,2025-01-07,290.0
STORE_01_BAKERY,2025-01-08,305.0
STORE_01_BAKERY,2025-01-09,300.0
STORE_01_BAKERY,2025-01-10,350.0
STORE_01_BAKERY,2025-01-11,430.0
STORE_01_BAKERY,2025-01-12,460.0
STORE_01_BAKERY,2025-01-13,285.0
STORE_01_BAKERY,2025-01-14,295.0
STORE_01_BAKERY,2025-01-15,315.0
STORE_01_BAKERY,2025-01-16,310.0
STORE_01_BAKERY,2025-01-17,360.0
STORE_01_BAKERY,2025-01-18,440.0
STORE_01_BAKERY,2025-01-19,470.0
STORE_01_BAKERY,2025-01-20,290.0
STORE_01_BAKERY,2025-01-21,300.0
STORE_01_BAKERY,2025-01-22,320.0
STORE_01_BAKERY,2025-01-23,315.0
STORE_01_BAKERY,2025-01-24,370.0
STORE_01_BAKERY,2025-01-25,450.0
STORE_01_BAKERY,2025-01-26,480.0
STORE_01_BAKERY,2025-01-27,295.0
STORE_01_BAKERY,2025-01-28,305.0
STORE_01_BAKERY,2025-01-29,325.0
STORE_01_BAKERY,2025-01-30,320.0
STORE_01_BAKERY,2025-01-31,380.0
STORE_01_BAKERY,2025-02-01,460.0
STORE_01_BAKERY,2025-02-02,490.0
STORE_01_BAKERY,2025-02-03,300.0
STORE_01_BAKERY,2025-02-04,310.0
STORE_01_BAKERY,2025-02-05,330.0
STORE_01_BAKERY,2025-02-06,325.0
STORE_01_BAKERY,2025-02-07,390.0
STORE_01_BAKERY,2025-02-08,470.0
STORE_01_BAKERY,2025-02-09,500.0
STORE_01_BAKERY,2025-02-10,305.0
STORE_01_BAKERY,2025-02-11,315.0
STORE_01_BAKERY,2025-02-12,335.0
STORE_01_BAKERY,2025-02-13,330.0
STORE_01_BAKERY,2025-02-14,400.0
STORE_01_BAKERY,2025-02-15,480.0
STORE_01_BAKERY,2025-02-16,510.0
STORE_01_BAKERY,2025-02-17,310.0
STORE_01_BAKERY,2025-02-18,320.0
STORE_01_BAKERY,2025-02-19,340.0
STORE_01_BAKERY,2025-02-20,335.0
STORE_01_BAKERY,2025-02-21,410.0
STORE_01_BAKERY,2025-02-22,490.0
STORE_01_BAKERY,2025-02-23,520.0
STORE_01_BAKERY,2025-02-24,315.0
STORE_01_BAKERY,2025-02-25,325.0
STORE_01_BAKERY,2025-02-26,345.0
STORE_01_BAKERY,2025-02-27,340.0
STORE_01_BAKERY,2025-02-28,420.0
STORE_01_BAKERY,2025-03-01,500.0
STORE_01_BAKERY,2025-03-02,530.0
STORE_01_BAKERY,2025-03-03,320.0
STORE_01_BAKERY,2025-03-04,330.0
STORE_01_BAKERY,2025-03-05,350.0
STORE_01_BAKERY,2025-03-06,345.0
STORE_01_BAKERY,2025-03-07,430.0
STORE_01_BAKERY,2025-03-08,510.0
STORE_01_BAKERY,2025-03-09,540.0
STORE_01_BAKERY,2025-03-10,325.0
STORE_01_BAKERY,2025-03-11,335.0
STORE_01_BAKERY,2025-03-12,355.0
STORE_01_BAKERY,2025-03-13,350.0
STORE_01_BAKERY,2025-03-14,440.0
STORE_01_BAKERY,2025-03-15,520.0
STORE_01_BAKERY,2025-03-16,550.0
STORE_01_BAKERY,2025-03-17,330.0
STORE_01_BAKERY,2025-03-18,340.0
STORE_01_BAKERY,2025-03-19,360.0
STORE_01_BAKERY,2025-03-20,355.0
STORE_01_BAKERY,2025-03-21,450.0
STORE_01_BAKERY,2025-03-22,530.0
STORE_01_BAKERY,2025-03-23,560.0
STORE_01_BAKERY,2025-03-24,335.0
STORE_01_BAKERY,2025-03-25,345.0
STORE_01_BAKERY,2025-03-26,365.0
STORE_01_BAKERY,2025-03-27,360.0
STORE_01_BAKERY,2025-03-28,460.0
STORE_01_BAKERY,2025-03-29,540.0
STORE_01_BAKERY,2025-03-30,570.0
STORE_01_BAKERY,2025-03-31,340.0
STORE_02_DAIRY,2025-01-01,85.0
STORE_02_DAIRY,2025-01-02,82.0
STORE_02_DAIRY,2025-01-03,91.0
STORE_02_DAIRY,2025-01-04,110.0
STORE_02_DAIRY,2025-01-05,115.0
STORE_02_DAIRY,2025-01-06,78.0
STORE_02_DAIRY,2025-01-07,80.0
STORE_02_DAIRY,2025-01-08,86.0
STORE_02_DAIRY,2025-01-09,84.0
STORE_02_DAIRY,2025-01-10,95.0
STORE_02_DAIRY,2025-01-11,118.0
STORE_02_DAIRY,2025-01-12,122.0
STORE_02_DAIRY,2025-01-13,79.0
STORE_02_DAIRY,2025-01-14,81.0
STORE_02_DAIRY,2025-01-15,88.0
STORE_02_DAIRY,2025-01-16,85.0
STORE_02_DAIRY,2025-01-17,98.0
STORE_02_DAIRY,2025-01-18,120.0
STORE_02_DAIRY,2025-01-19,125.0
STORE_02_DAIRY,2025-01-20,80.0
STORE_02_DAIRY,2025-01-21,83.0
STORE_02_DAIRY,2025-01-22,89.0
STORE_02_DAIRY,2025-01-23,87.0
STORE_02_DAIRY,2025-01-24,101.0
STORE_02_DAIRY,2025-01-25,124.0
STORE_02_DAIRY,2025-01-26,128.0
STORE_02_DAIRY,2025-01-27,82.0
STORE_02_DAIRY,2025-01-28,84.0
STORE_02_DAIRY,2025-01-29,90.0
STORE_02_DAIRY,2025-01-30,88.0
STORE_02_DAIRY,2025-01-31,104.0
STORE_02_DAIRY,2025-02-01,126.0
STORE_02_DAIRY,2025-02-02,130.0
STORE_02_DAIRY,2025-02-03,83.0
STORE_02_DAIRY,2025-02-04,85.0
STORE_02_DAIRY,2025-02-05,92.0
STORE_02_DAIRY,2025-02-06,90.0
STORE_02_DAIRY,2025-02-07,106.0
STORE_02_DAIRY,2025-02-08,129.0
STORE_02_DAIRY,2025-02-09,134.0
STORE_02_DAIRY,2025-02-10,85.0
STORE_02_DAIRY,2025-02-11,87.0
STORE_02_DAIRY,2025-02-12,94.0
STORE_02_DAIRY,2025-02-13,91.0
STORE_02_DAIRY,2025-02-14,109.0
STORE_02_DAIRY,2025-02-15,132.0
STORE_02_DAIRY,2025-02-16,137.0
STORE_02_DAIRY,2025-02-17,86.0
STORE_02_DAIRY,2025-02-18,88.0
STORE_02_DAIRY,2025-02-19,95.0
STORE_02_DAIRY,2025-02-20,93.0
STORE_02_DAIRY,2025-02-21,111.0
STORE_02_DAIRY,2025-02-22,135.0
STORE_02_DAIRY,2025-02-23,140.0
STORE_02_DAIRY,2025-02-24,88.0
STORE_02_DAIRY,2025-02-25,90.0
STORE_02_DAIRY,2025-02-26,97.0
STORE_02_DAIRY,2025-02-27,95.0
STORE_02_DAIRY,2025-02-28,114.0
STORE_02_DAIRY,2025-03-01,138.0
STORE_02_DAIRY,2025-03-02,143.0
STORE_02_DAIRY,2025-03-03,89.0
STORE_02_DAIRY,2025-03-04,92.0
STORE_02_DAIRY,2025-03-05,99.0
STORE_02_DAIRY,2025-03-06,97.0
STORE_02_DAIRY,2025-03-07,117.0
STORE_02_DAIRY,2025-03-08,141.0
STORE_02_DAIRY,2025-03-09,146.0
STORE_02_DAIRY,2025-03-10,91.0
STORE_02_DAIRY,2025-03-11,93.0
STORE_02_DAIRY,2025-03-12,101.0
STORE_02_DAIRY,2025-03-13,98.0
STORE_02_DAIRY,2025-03-14,120.0
STORE_02_DAIRY,2025-03-15,145.0
STORE_02_DAIRY,2025-03-16,150.0
STORE_02_DAIRY,2025-03-17,93.0
STORE_02_DAIRY,2025-03-18,95.0
STORE_02_DAIRY,2025-03-19,103.0
STORE_02_DAIRY,2025-03-20,100.0
STORE_02_DAIRY,2025-03-21,123.0
STORE_02_DAIRY,2025-03-22,148.0
STORE_02_DAIRY,2025-03-23,153.0
STORE_02_DAIRY,2025-03-24,94.0
STORE_02_DAIRY,2025-03-25,97.0
STORE_02_DAIRY,2025-03-26,105.0
STORE_02_DAIRY,2025-03-27,102.0
STORE_02_DAIRY,2025-03-28,126.0
STORE_02_DAIRY,2025-03-29,151.0
STORE_02_DAIRY,2025-03-30,157.0
STORE_02_DAIRY,2025-03-31,96.0
